activation,parameter,depth,width,seed,train_errors,eval_errors,dense_errors,solved,steps_to_criterion,final_eval_accuracy,at_chance,inactive_unit_fraction,duration_seconds
sin_family,1.5,3,3,133,6,12,-1,False,-1,0.994,False,0.0,0.7024221250321716
sin_family,1.5,3,3,134,81,90,-1,False,-1,0.955,False,0.0,0.7039725841023028
sin_family,1.5,3,3,135,56,82,-1,False,-1,0.959,False,0.0,0.7039676669519395
sin_family,1.5,3,3,136,82,83,-1,False,-1,0.9585,False,0.0,0.7037392919883132
sin_family,1.5,3,3,137,60,65,-1,False,-1,0.9675,False,0.0,0.7047900001052767
sin_family,1.5,3,3,138,79,90,-1,False,-1,0.955,False,0.0,0.7031568749807775
sin_family,1.5,3,3,139,54,73,-1,False,-1,0.9635,False,0.0,0.7023199580144137
sin_family,1.5,3,3,140,59,64,-1,False,-1,0.968,False,0.0,0.7001823747996241
sin_family,1.5,3,3,141,80,84,-1,False,-1,0.958,False,0.0,0.7000502080190927
sin_family,1.5,3,3,142,73,77,-1,False,-1,0.9615,False,0.0,0.7000697918701917
sin_family,1.5,3,3,143,69,87,-1,False,-1,0.9565,False,0.0,0.7023322090972215
sin_family,1.5,3,3,144,70,72,-1,False,-1,0.964,False,0.0,0.7029481248464435
sin_family,1.5,3,3,145,39,68,-1,False,-1,0.966,False,0.0,0.6977197921369225
sin_family,1.5,3,3,146,84,82,-1,False,-1,0.959,False,0.0,0.7028112090192735
sin_family,1.5,3,3,147,0,0,0,True,250,1.0,False,0.0,0.7272002501413226
sin_family,1.5,3,3,148,100,97,-1,False,-1,0.9515,False,0.0,0.7023117081262171
sin_family,1.5,3,3,149,76,62,-1,False,-1,0.969,False,0.0,0.7031017909757793
sin_family,1.5,3,3,150,64,82,-1,False,-1,0.959,False,0.1111111111111111,0.7060714999679476
sin_family,1.5,3,3,151,7,6,-1,False,-1,0.997,False,0.0,0.7023855419829488
sin_family,1.5,3,3,152,88,92,-1,False,-1,0.954,False,0.0,0.6980693328659981
sin_family,1.5,3,3,153,26,46,-1,False,-1,0.977,False,0.0,0.7061324580572546
sin_family,1.5,3,3,154,0,0,0,True,400,1.0,False,0.1111111111111111,0.7123361250851303
sin_family,1.5,3,3,155,82,80,-1,False,-1,0.96,False,0.0,0.7042975001968443
sin_family,1.5,3,3,156,81,97,-1,False,-1,0.9515,False,0.0,0.7125025831628591
sin_family,1.5,3,3,157,65,97,-1,False,-1,0.9515,False,0.0,0.7094509578309953
sin_family,1.5,3,3,158,59,66,-1,False,-1,0.967,False,0.0,0.702061332995072
sin_family,1.5,3,3,159,55,79,-1,False,-1,0.9605,False,0.0,0.7028566668741405
sin_family,1.5,3,3,160,83,95,-1,False,-1,0.9525,False,0.0,0.7059734999202192
sin_family,1.5,3,3,161,59,74,-1,False,-1,0.963,False,0.0,0.7025617910549045
sin_family,1.5,3,3,162,64,86,-1,False,-1,0.957,False,0.0,0.7039395000319928
sin_family,1.5,3,3,163,70,70,-1,False,-1,0.965,False,0.0,0.7044822920579463
sin_family,1.5,3,3,164,64,89,-1,False,-1,0.9555,False,0.0,0.7010709589812905
sin_family,1.5,3,3,165,91,95,-1,False,-1,0.9525,False,0.0,0.6992527500260621
sin_family,1.5,3,3,166,75,93,-1,False,-1,0.9535,False,0.0,0.7067510839551687
sin_family,1.5,3,3,167,79,74,-1,False,-1,0.963,False,0.0,0.7059140831697732
sin_family,1.5,3,3,168,57,78,-1,False,-1,0.961,False,0.0,0.7037502080202103
sin_family,1.5,3,3,169,52,75,-1,False,-1,0.9625,False,0.0,0.699414832983166
sin_family,1.5,3,3,170,83,96,-1,False,-1,0.952,False,0.0,0.7052181670442224
sin_family,1.5,3,3,171,95,122,-1,False,-1,0.9390000000000001,False,0.0,0.7015860830433667
sin_family,1.5,3,3,172,100,73,-1,False,-1,0.9635,False,0.0,0.7030356670729816
sin_family,1.5,3,3,173,58,76,-1,False,-1,0.962,False,0.0,0.7048327499069273
sin_family,1.5,3,3,174,86,97,-1,False,-1,0.9515,False,0.0,0.7080451659858227
